ActualElapsedTime,AirTime,ArrDelay,ArrTime,CRSArrTime,CRSDepTime,CRSElapsedTime,CancellationCode,Cancelled,CarrierDelay,DayOfWeek,DayofMonth,DepDelay,DepTime,Dest,Distance,Diverted,FlightNum,LateAircraftDelay,Month,NASDelay,Origin,SecurityDelay,TailNum,TaxiIn,TaxiOut,UniqueCarrier,WeatherDelay,Year
252,211,5,1415,1410,800,250,NA,0,NA,1,25,3,803,ORD,1846,0,46,NA,6,NA,SFO,NA,N589ä1,4,37,UA,NA,2001
197,171,-7,1252,1259,1135,204,NA,0,NA,7,29,0,1135,ELP,1282,0,325,NA,12,NA,ATL,NA,N522DA,7,19,DL,NA,2002
80,NA,-5,1235,1240,1115,85,NA,0,NA,2,15,0,1115,ATL,443,0,1018,NA,8,NA,MLB,NA,NA,NA,NA,DL,NA,1989
36,NA,3,1533,1530,1500,30,NA,0,NA,3,26,-3,1457,SFO,77,0,1770,NA,12,NA,MRY,NA,NA,NA,NA,UA,NA,1990
99,NA,-12,739,751,700,111,NA,0,NA,7,16,0,700,ORD,607,0,819,NA,4,NA,SYR,NA,NA,NA,NA,AA,NA,1989
51,39,4,1954,1950,1900,50,NA,0,NA,5,21,3,1903,ELP,223,0,432,NA,6,NA,ABQ,NA,N338,2,10,WN,NA,1996
117,93,-12,1719,1731,1516,135,NA,0,NA,1,25,6,1522,BOS,728,0,720,NA,6,NA,CLT,NA,N770äæ,11,13,US,NA,2001
149,111,12,1629,1617,1500,137,NA,0,NA,1,11,0,1500,STL,737,0,559,NA,9,NA,BWI,NA,N922TW,4,34,TW,NA,2000
170,155,-13,1149,1202,700,182,NA,0,NA,7,4,-1,659,MSP,1300,0,778,NA,5,NA,LAS,NA,N534US,3,12,NW,NA,2003
108,NA,-1,2203,2204,2015,109,NA,0,NA,7,3,0,2015,SJC,697,0,1442,NA,11,NA,SEA,NA,NA,NA,NA,AA,NA,1991
63,51,-12,938,950,835,75,NA,0,NA,4,18,0,835,ONT,325,0,600,NA,6,NA,PHX,NA,N342,2,10,WN,NA,1998
56,NA,-2,703,705,700,65,NA,0,NA,4,7,7,707,MDW,229,0,531,NA,2,NA,DTW,NA,NA,NA,NA,WN,NA,1991
58,NA,7,1149,1142,1045,57,NA,0,NA,7,10,6,1051,PIT,253,0,327,NA,5,NA,ABE,NA,NA,NA,NA,US,NA,1992
33,NA,-1,2353,2354,2320,34,NA,0,NA,3,11,0,2320,SAN,109,0,1840,NA,11,NA,LAX,NA,NA,NA,NA,PS,NA,1987
163,NA,0,1123,1123,940,163,NA,0,NA,1,12,0,940,DEN,1062,0,1719,NA,10,NA,MSY,NA,NA,NA,NA,CO,NA,1987
57,NA,-4,841,845,745,60,NA,0,NA,3,27,-1,744,PIT,243,0,290,NA,7,NA,AVP,NA,NA,NA,NA,US,NA,1994
139,111,-7,1146,1153,930,143,NA,0,NA,2,25,-3,927,DFW,802,0,2315,NA,6,NA,ORD,NA,N558AA,15,13,AA,NA,2002
109,NA,6,1016,1010,827,103,NA,0,NA,3,28,0,827,DTW,594,0,534,NA,6,NA,ATL,NA,NA,NA,NA,DL,NA,1989
57,43,31,1404,1333,1230,63,NA,0,NA,7,20,37,1307,GRR,268,0,2017,NA,10,NA,CVG,NA,N322DL,5,9,DL,NA,1996
148,131,-9,826,835,700,155,NA,0,NA,4,1,-2,658,MSP,906,0,739,NA,8,NA,ATL,NA,N95S,4,13,NW,NA,1996
206,180,9,2051,2042,1916,206,NA,0,NA,6,8,9,1925,SNA,1205,0,1169,NA,9,NA,DFW,NA,N417A1,8,18,AA,NA,2001
233,212,-23,1649,1712,1500,252,NA,0,NA,3,21,-4,1456,SNA,1726,0,649,NA,7,NA,ORD,NA,N5CNAA,5,16,AA,NA,1999
100,NA,3,1748,1745,1510,95,NA,0,NA,7,12,-2,1508,DSM,589,0,690,NA,3,NA,DEN,NA,NA,NA,NA,UA,NA,1989
160,142,-39,1154,1233,915,198,NA,0,NA,6,25,-1,914,MIA,1097,0,813,NA,12,NA,LGA,NA,N629AA,4,14,AA,NA,1999
51,41,4,1209,1205,1110,55,NA,0,NA,4,5,8,1118,TPA,197,0,1119,NA,12,NA,FLL,NA,N635,3,7,WN,NA,2002
97,88,7,1542,1535,1455,100,NA,0,NA,1,19,10,1505,ABQ,580,0,30,NA,1,NA,DAL,NA,N620,3,6,WN,NA,1998
115,NA,12,2055,2043,1757,106,NA,0,NA,5,18,3,1800,PHX,646,0,482,NA,1,NA,OAK,NA,NA,NA,NA,HP,NA,1991
87,NA,5,1607,1602,1440,82,NA,0,NA,1,7,0,1440,SFO,421,0,495,NA,6,NA,PSP,NA,NA,NA,NA,AS,NA,1993
45,29,2,1120,1118,1030,48,,0,0,1,19,5,1035,CMH,116,0,5873,0,6,0,CVG,0,N785CA,3,13,OH,0,2006
61,40,-3,1537,1540,1440,60,,0,NA,7,20,-4,1436,LAW,140,0,3281,NA,7,NA,DFW,NA,N286AE,7,14,MQ,NA,2008
100,81,-2,1220,1222,1045,97,,0,0,1,6,-5,1040,ATL,300,0,4120,0,11,0,GNV,0,N632AS,10,9,EV,0,2006
33,22,-3,1916,1919,1845,34,,0,0,2,6,-2,1843,HNL,100,0,549,0,11,0,OGG,0,N477HA,5,6,HA,0,2007
57,31,-9,1659,1708,1612,56,,0,0,5,4,-10,1602,ATL,152,0,4632,0,2,0,TYS,0,N846AS,9,17,EV,0,2005
95,74,136,2343,2127,2035,112,,0,136,7,30,153,2308,SGF,563,0,4811,0,7,0,ATL,0,N854AS,3,18,EV,0,2006
143,122,4,824,820,600,140,,0,0,4,21,1,601,ATL,780,0,662,0,12,0,HPN,0,N996AT,11,10,FL,0,2006
81,60,-6,1049,1055,930,85,,0,0,2,21,-2,928,MDT,429,0,4473,0,8,0,CVG,0,N926EV,5,16,EV,0,2007
119,100,-18,1547,1605,1450,135,,0,0,3,3,-2,1448,ORD,599,0,7449,0,12,0,CLT,0,N679BR,7,11,DH,0,2003
64,50,-24,1956,2020,1900,80,,0,0,2,10,-8,1852,LGA,214,0,4976,0,2,0,DCA,0,N720MQ,5,9,MQ,0,2004
64,56,-1,2144,2145,2040,65,,0,0,7,11,0,2040,BUR,358,0,893,0,1,0,SMF,0,N369,1,7,WN,0,2004
85,48,13,623,610,500,70,,0,NA,4,24,-2,458,MSP,284,0,2843,NA,1,NA,GFK,NA,89709E,10,27,9E,NA,2008
166,150,-4,1446,1450,1200,170,,0,0,1,31,0,1200,BDL,1133,0,1449,0,7,0,PBI,0,N6713Y,3,13,DL,0,2006
103,82,62,1536,1434,1238,116,,0,0,5,28,75,1353,BUF,712,0,550,62,12,0,ATL,0,N937AT,4,17,FL,0,2007
87,61,-1,727,728,600,88,,0,0,1,5,0,600,RDU,416,0,4625,0,9,0,EWR,0,N704PG,3,23,MQ,0,2005
75,57,8,731,723,500,83,,0,0,1,29,16,516,ATL,425,0,2047,0,9,0,MSY,0,N949DL,5,13,DL,0,2003
66,43,-5,2209,2214,2108,66,,0,0,2,13,-5,2103,FLO,273,0,4255,0,7,0,ATL,0,N923EV,4,19,EV,0,2004
189,175,-22,433,455,2325,210,,0,NA,2,26,-1,2324,MKE,1524,0,519,NA,8,NA,LAS,NA,N173AT,5,9,FL,NA,2008
148,125,266,2156,1730,1402,148,,0,259,4,1,266,1828,SJU,1045,0,1049,7,12,0,MIA,0,N623AA,3,20,AA,0,2005
97,79,-3,907,910,732,98,,0,0,4,29,-2,730,ORD,522,0,4168,0,9,0,XNA,0,N510AE,3,15,MQ,0,2005
62,43,1,1015,1014,913,61,,0,0,3,3,0,913,ATL,152,0,4215,0,10,0,TYS,0,N925EV,10,9,EV,0,2007
244,217,1,1817,1816,1600,256,,0,0,2,26,13,1613,LAX,1745,0,123,0,8,0,ORD,0,N569UA,9,18,UA,0,2003
122,78,-9,1055,1104,900,124,,0,0,2,18,-7,853,DTW,501,0,537,0,9,0,LGA,0,N507US,9,35,NW,0,2007
101,85,-17,1736,1753,1700,113,,0,0,5,3,-5,1655,PIA,564,0,4646,0,12,0,ATL,0,N858AS,2,14,EV,0,2004
97,84,-2,1015,1017,844,93,,0,0,7,22,-6,838,ATL,445,0,307,0,7,0,SRQ,0,N149AT,5,8,FL,0,2007
158,140,-4,1434,1438,1200,158,,0,NA,4,25,-4,1156,MCO,1011,0,554,NA,12,NA,BUF,NA,N267AT,8,10,FL,NA,2008
115,103,5,1435,1430,1240,110,,0,0,2,21,0,1240,PHX,646,0,1405,0,10,0,OAK,0,N520,4,8,WN,0,2003
140,123,11,1022,1011,700,131,,0,0,3,23,2,702,CVG,812,0,1610,0,7,0,DFW,0,N394DA,5,12,DL,0,2003
118,99,4,1638,1634,1541,113,,0,0,2,27,-1,1540,DEN,627,0,6554,0,3,0,FAR,0,N951SW,6,13,OO,0,2007
83,64,-9,1035,1044,919,85,,0,0,5,16,-7,912,MSP,349,0,221,0,3,0,MDW,0,N944AT,8,11,FL,0,2007
